doc_num,statute_code,js_date,doc_incarcerated_term_yrs,statute_desc,violent,file_month,pwid
823263,63-2-401,2018-10-04,3,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
823306,63-2-401,2018-10-17,0.56,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
233430,63-2-401,2018-12-14,5,DIST OF CDS/POSS W/INTENT,N,2018-12-01,TRUE
823310,63-2-401,2018-10-05,10,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
823311,63-2-401,2018-10-17,0.56,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
823312,63-2-401,2018-11-28,2,DIST OF CDS/POSS W/INTENT,N,2018-11-01,TRUE
823317,63-2-401,2018-10-05,7,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
725798,63-2-401,2017-02-02,8,DIST OF CDS/POSS W/INTENT,N,2017-02-01,TRUE
823391,63-2-401,2018-10-10,4.8,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
823391,63-2-401,2018-10-10,10,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
823396,63-2-401,2018-09-13,2,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
823397,63-2-401,2018-09-24,10,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
668243,63-2-401,2018-11-05,2,DIST OF CDS/POSS W/INTENT,N,2018-11-01,TRUE
607040,63-2-401,2018-09-10,3,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
542647,63-2-401,2017-10-24,10,DIST OF CDS/POSS W/INTENT,N,2017-10-01,TRUE
607078,63-2-401,2020-01-07,4,DIST OF CDS/POSS W/INTENT,N,2020-01-01,TRUE
725889,63-2-401,2018-12-28,2,DIST OF CDS/POSS W/INTENT,N,2018-12-01,TRUE
372764,63-2-401,2018-04-11,15,DIST OF CDS/POSS W/INTENT,N,2018-04-01,TRUE
551175,63-2-401,2018-05-04,2.94,DIST OF CDS/POSS W/INTENT,N,2018-05-01,TRUE
791499,63-2-401,2018-03-21,12,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
717855,63-2-401,2017-04-11,7,DIST OF CDS/POSS W/INTENT,N,2017-04-01,TRUE
424104,63-2-401,2018-01-10,10,DIST OF CDS/POSS W/INTENT,N,2018-01-01,TRUE
823582,63-2-401,2019-01-24,5,DIST OF CDS/POSS W/INTENT,N,2019-01-01,TRUE
177207,63-2-401,2018-01-30,3.14,DIST OF CDS/POSS W/INTENT,N,2018-01-01,TRUE
607166,63-2-401,2017-12-06,5,DIST OF CDS/POSS W/INTENT,N,2017-12-01,TRUE
668311,63-2-401,2019-11-13,8,DIST OF CDS/POSS W/INTENT,N,2019-11-01,TRUE
424140,63-2-401,2019-09-23,3,DIST OF CDS/POSS W/INTENT,N,2019-09-01,TRUE
716982,63-2-401,2017-02-10,5,DIST OF CDS/POSS W/INTENT,N,2017-02-01,TRUE
607193,63-2-401,2019-04-17,3.03,DIST OF CDS/POSS W/INTENT,N,2019-04-01,TRUE
607193,63-2-401,2019-08-27,1.5,DIST OF CDS/POSS W/INTENT,N,2019-08-01,TRUE
551240,63-2-401,2017-02-17,7,DIST OF CDS/POSS W/INTENT,N,2017-02-01,TRUE
424193,63-2-401,2017-10-17,3,DIST OF CDS/POSS W/INTENT,N,2017-10-01,TRUE
823724,63-2-401,2018-08-20,6,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
607235,63-2-401,2017-11-09,6,DIST OF CDS/POSS W/INTENT,N,2017-11-01,TRUE
823767,63-2-401,2018-08-08,10,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
791528,63-2-401,2018-03-23,7,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
668462,63-2-401,2018-08-29,12,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
726077,63-2-401,2018-05-25,3,DIST OF CDS/POSS W/INTENT,N,2018-05-01,TRUE
823814,63-2-401,2018-02-26,2.85,DIST OF CDS/POSS W/INTENT,N,2018-02-01,TRUE
823832,63-2-401,2018-10-17,10,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
372899,63-2-401,2018-04-18,10,DIST OF CDS/POSS W/INTENT,N,2018-04-01,TRUE
726094,63-2-401,2018-05-01,10,DIST OF CDS/POSS W/INTENT,N,2018-05-01,TRUE
823849,63-2-401,2018-08-16,5,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
823849,63-2-401,2019-12-12,8,DIST OF CDS/POSS W/INTENT,N,2019-12-01,TRUE
823895,63-2-401,2018-10-17,15,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
790221,63-2-401,2018-03-12,2,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
726138,63-2-401,2017-08-09,15,DIST OF CDS/POSS W/INTENT,N,2017-08-01,TRUE
791544,63-2-401,2019-09-03,10,DIST OF CDS/POSS W/INTENT,N,2019-09-01,TRUE
668565,63-2-401,2017-10-04,7,DIST OF CDS/POSS W/INTENT,N,2017-10-01,TRUE
823992,63-2-401,2019-04-26,5,DIST OF CDS/POSS W/INTENT,N,2019-04-01,TRUE
141236,63-2-401,2019-09-23,7,DIST OF CDS/POSS W/INTENT,N,2019-09-01,TRUE
791548,63-2-401,2018-03-12,3.83,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
205693,63-2-401,2018-03-14,9,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
726219,63-2-401,2017-03-20,6,DIST OF CDS/POSS W/INTENT,N,2017-03-01,TRUE
791551,63-2-401,2018-03-29,15,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
824081,63-2-401,2020-01-23,5,DIST OF CDS/POSS W/INTENT,N,2020-01-01,TRUE
824086,63-2-401,2018-10-26,0.67,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
717899,63-2-401,2019-03-15,8,DIST OF CDS/POSS W/INTENT,N,2019-03-01,TRUE
424438,63-2-401,2018-12-04,3,DIST OF CDS/POSS W/INTENT,N,2018-12-01,TRUE
717899,63-2-401,2019-03-15,5,DIST OF CDS/POSS W/INTENT,N,2019-03-01,TRUE
717899,63-2-401,2019-03-13,7,DIST OF CDS/POSS W/INTENT,N,2019-03-01,TRUE
824153,63-2-401,2018-10-08,20,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
824162,63-2-401,2018-08-29,2,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
824182,63-2-401,2018-08-29,2,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
824192,63-2-401,2019-10-21,6,DIST OF CDS/POSS W/INTENT,N,2019-10-01,TRUE
668732,63-2-401,2019-04-10,25,DIST OF CDS/POSS W/INTENT,N,2019-04-01,TRUE
607489,63-2-401,2018-08-15,2,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
726353,63-2-401,2018-01-16,10,DIST OF CDS/POSS W/INTENT,N,2018-01-01,TRUE
233663,63-2-401,2017-01-09,6,DIST OF CDS/POSS W/INTENT,N,2017-01-01,TRUE
481591,63-2-401,2018-10-25,4,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
481591,63-2-401,2019-05-14,6,DIST OF CDS/POSS W/INTENT,N,2019-05-01,TRUE
824247,63-2-401,2018-10-19,3,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
824252,63-2-401,2018-10-17,4,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
551915,63-2-401,2017-07-06,15,DIST OF CDS/POSS W/INTENT,N,2017-07-01,TRUE
824307,63-2-401,2018-04-27,2,DIST OF CDS/POSS W/INTENT,N,2018-04-01,TRUE
607597,63-2-401,2017-12-15,8,DIST OF CDS/POSS W/INTENT,N,2017-12-01,TRUE
